Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 143.0.7499.169,,,23-12-2025 15:13:58,23-12-2025 15:14:30,31.771s,PASSED
,,,,,,,
Test Cases/ManualMode_Demo,Chrome 143.0.7499.169,,,23-12-2025 15:13:59,23-12-2025 15:14:19,20.298s,PASSED
"openBrowser("""")",Chrome 143.0.7499.169,,,23-12-2025 15:13:59,23-12-2025 15:14:04,4.442s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 143.0.7499.169,,,23-12-2025 15:14:04,23-12-2025 15:14:08,4.300s,PASSED
"setText(findTestObject(""OrangeHRM/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 143.0.7499.169,,,23-12-2025 15:14:08,23-12-2025 15:14:11,3.483s,PASSED
"setEncryptedText(findTestObject(""OrangeHRM/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 143.0.7499.169,,,23-12-2025 15:14:11,23-12-2025 15:14:12,0.640s,PASSED
"click(findTestObject(""OrangeHRM/Page_OrangeHRM/button_Login""))",Chrome 143.0.7499.169,,,23-12-2025 15:14:12,23-12-2025 15:14:13,0.568s,PASSED
"click(findTestObject(""OrangeHRM/Page_OrangeHRM/i_Upgrade_oxd-icon bi-caret-down-fill oxd-u_ca92f9""))",Chrome 143.0.7499.169,,,23-12-2025 15:14:13,23-12-2025 15:14:17,4.311s,PASSED
"click(findTestObject(""OrangeHRM/Page_OrangeHRM/a_Logout""))",Chrome 143.0.7499.169,,,23-12-2025 15:14:17,23-12-2025 15:14:19,1.554s,PASSED
closeBrowser(),Chrome 143.0.7499.169,,,23-12-2025 15:14:19,23-12-2025 15:14:19,0.536s,PASSED
,,,,,,,
Test Cases/SciptMode_Demo,Chrome 143.0.7499.169,,,23-12-2025 15:14:19,23-12-2025 15:14:30,10.834s,PASSED
"openBrowser("""")",Chrome 143.0.7499.169,,,23-12-2025 15:14:19,23-12-2025 15:14:21,1.402s,PASSED
"navigateToUrl(""https://practicetestautomation.com/practice-test-login/"")",Chrome 143.0.7499.169,,,23-12-2025 15:14:21,23-12-2025 15:14:25,4.362s,PASSED
"setText(findTestObject(""Object Repository/ScripMode_Obj/Page_Test Login  Practice Test Automation/input_Username_username""), ""student"")",Chrome 143.0.7499.169,,,23-12-2025 15:14:25,23-12-2025 15:14:26,1.108s,PASSED
"setEncryptedText(findTestObject(""Object Repository/ScripMode_Obj/Page_Test Login  Practice Test Automation/input_Password_password""), ""p4y+y39Ir5PJb2ispxT0Ew=="")",Chrome 143.0.7499.169,,,23-12-2025 15:14:26,23-12-2025 15:14:27,0.579s,PASSED
"click(findTestObject(""Object Repository/ScripMode_Obj/Page_Test Login  Practice Test Automation/button_Submit""))",Chrome 143.0.7499.169,,,23-12-2025 15:14:27,23-12-2025 15:14:28,1.723s,PASSED
"click(findTestObject(""Object Repository/ScripMode_Obj/Page_Test Login  Practice Test Automation/a_Log out""))",Chrome 143.0.7499.169,,,23-12-2025 15:14:28,23-12-2025 15:14:30,1.200s,PASSED
closeBrowser(),Chrome 143.0.7499.169,,,23-12-2025 15:14:30,23-12-2025 15:14:30,0.351s,PASSED
